system|sub_system|sub_sub_system|department
SWITCH 5 & 6|Local Control Panel|Power Supply 220VAC - 24VDC 2.1 Amp|TNMD
SWITCH 5 & 6|Local Control Panel|RELAY MY2N 24VDC|TNMD
SWITCH 7 & 8|Switchdeck & RC Beam|Ventilation Fan Brand : ORIX Specifications : 119mm, standard. Speed, 1 phase, 230 Vac, 16watt|TNMD
SWITCH 7 & 8|Switchdeck & RC Beam|Panel Switchdeck|TNMD
SWITCH 7 & 8|Switchdeck & RC Beam|Panel local control|TNMD
SWITCH 7 & 8|Switchdeck & RC Beam|Panel Fall Back Control|TNMD
SWITCH 7 & 8|Switchdeck & RC Beam|Diagnostic Panel|TNMD
SWITCH 7 & 8|Switchdeck & RC Beam|Connector Terminal Block|TNMD
SWITCH 7 & 8|Switchdeck & RC Beam|Junction Box|TNMD
SWITCH 7 & 8|Switchdeck & RC Beam|Emergency Stop Push Button|TNMD
SWITCH 7 & 8|Carriage Including Carriage Wheel|Carriage|TNMD
SWITCH 7 & 8|Carriage Including Carriage Wheel|Roller carriage|TNMD
SWITCH 7 & 8|Locking Pin Assembly|Lockpin|TNMD
SWITCH 7 & 8|Locking Pin Assembly|Limit Switch Brand : Omron Type : D4A-6501N|TNMD
SWITCH 7 & 8|Locking Pin Assembly|3 Phase Induction Motor 1.5 kW Brand : Tsubaki Specifications : volt 400-440, frequency 50-60Hz, current 2.9- 3.2A, speed 1430- 1720 r/min|TNMD
SWITCH 7 & 8|Locking Pin Assembly|Cylinder lockpin|TNMD
SWITCH 7 & 8|Locking Pin Assembly|Housing lockpin|TNMD
SWITCH 7 & 8|Locking Pin Assembly|3-Phase Brake Motor Brand : Tsubaki Specifications : VDC 171-207, IDC 0.13-0.17A, TORQUE 14.7N.m|TNMD
SWITCH 7 & 8|Locking Pin Assembly|Bracket Mounting Lockpin|TNMD
SWITCH 7 & 8|Switch Beam|Flipper|TNMD
SWITCH 7 & 8|Switch Beam|Flipper|TNMD
SWITCH 7 & 8|Switch Beam|Top Finger Plate|TNMD
SWITCH 7 & 8|Switch Beam|Side Finger Plate|TNMD
SWITCH 7 & 8|Switch Beam|T-Shaft - Nipple Point Grease|TNMD
