system|sub_system|sub_sub_system|root_cause|department
PAGS|(MSD) Motorized Screen Door|Bolt Lock|Obstruction fault|WS20
PAGS|(MSD) Motorized Screen Door|Bolt Lock|Open sensor error|WS20
PAGS|(MSD) Motorized Screen Door|Bolt Lock|Close sensor error|WS20
PAGS|(MSD) Motorized Screen Door|Door Sensor|Motor power failure|WS20
PAGS|(MSD) Motorized Screen Door|Door Sensor|MSD lock failed|WS20
PAGS|(MSD) Motorized Screen Door|Door Sensor|MSD unlock failed|WS20
PAGS|(MSD) Motorized Screen Door|Door Sensor|Belting loose / damaged|WS20
PAGS|(MSD) Motorized Screen Door|Door Sensor|Bolt lock fault|WS20
PAGS|(MSD) Motorized Screen Door|Door Sensor|Obstruction fault|WS20
PAGS|(MSD) Motorized Screen Door|Door Sensor|Open sensor error|WS20
PAGS|(MSD) Motorized Screen Door|Door Sensor|Close sensor error|WS20
PAGS|(MSD) Motorized Screen Door|Door Sensor|Motor power failure|WS20
PAGS|(MSD) Motorized Screen Door|Door Sensor|MSD lock failed|WS20
PAGS|(MSD) Motorized Screen Door|Door Sensor|MSD unlock failed|WS20
PAGS|(MSD) Motorized Screen Door|Door Sensor|Belting loose / damaged|WS20
PAGS|(MSD) Motorized Screen Door|Door Sensor|Bolt lock fault|WS20
PAGS|(MSD) Motorized Screen Door|Door Sensor|Obstruction fault|WS20
PAGS|(MSD) Motorized Screen Door|Door Sensor|Open sensor error|WS20
PAGS|(MSD) Motorized Screen Door|Door Sensor|Close sensor error|WS20
PAGS|(MSD) Motorized Screen Door|Door Handle|Motor power failure|WS20
PAGS|(MSD) Motorized Screen Door|Door Handle|MSD lock failed|WS20
PAGS|(MSD) Motorized Screen Door|Door Handle|MSD unlock failed|WS20
PAGS|(MSD) Motorized Screen Door|Door Handle|Belting loose / damaged|WS20
PAGS|(MSD) Motorized Screen Door|Door Handle|Bolt lock fault|WS20
PAGS|(MSD) Motorized Screen Door|Door Handle|Obstruction fault|WS20
PAGS|(MSD) Motorized Screen Door|Door Handle|Open sensor error|WS20
PAGS|(MSD) Motorized Screen Door|Door Handle|Close sensor error|WS20
PAGS|RF Transceiver Module|RF Transceiver|Communication lost|WS20
